Total,het,aob,
215430,4.639235e-11,4.211550e-11,4.276849e-12,
220440,4.736803e-11,4.300480e-11,4.363231e-12,
225450,4.834216e-11,4.389379e-11,4.448378e-12,
230460,4.929080e-11,4.475750e-11,4.533305e-12,
235470,5.022707e-11,4.560931e-11,4.617756e-12,
240480,5.116871e-11,4.646721e-11,4.701493e-12,
245490,5.204530e-11,4.726110e-11,4.784203e-12,
250500,5.294790e-11,4.808103e-11,4.866865e-12,
255510,5.384804e-11,4.889930e-11,4.948742e-12,
260520,5.469705e-11,4.966716e-11,5.029894e-12,
265530,5.555079e-11,5.044077e-11,5.110028e-12,
270540,5.639144e-11,5.120159e-11,5.189852e-12,
275550,5.720297e-11,5.193409e-11,5.268878e-12,
280560,5.803970e-11,5.269244e-11,5.347267e-12,
285570,5.880607e-11,5.338100e-11,5.425076e-12,
290580,5.962310e-11,5.412010e-11,5.503004e-12,
295590,6.024697e-11,5.468326e-11,5.563703e-12,
300600,6.024697e-11,5.468326e-11,5.563703e-12,
305610,6.024697e-11,5.468326e-11,5.563703e-12,
310620,6.024697e-11,5.468326e-11,5.563703e-12,
315630,6.024697e-11,5.468326e-11,5.563703e-12,
320640,6.024697e-11,5.468326e-11,5.563703e-12,
325650,6.024697e-11,5.468326e-11,5.563703e-12,
330660,6.024697e-11,5.468326e-11,5.563703e-12,
335670,6.024697e-11,5.468326e-11,5.563703e-12,
340680,6.024697e-11,5.468326e-11,5.563703e-12,
345690,6.024697e-11,5.468326e-11,5.563703e-12,
350700,6.024697e-11,5.468326e-11,5.563703e-12,
355710,6.024697e-11,5.468326e-11,5.563703e-12,
360720,6.024697e-11,5.468326e-11,5.563703e-12,
365730,6.024697e-11,5.468326e-11,5.563703e-12,
370740,6.024697e-11,5.468326e-11,5.563703e-12,
375750,6.024697e-11,5.468326e-11,5.563703e-12,
380760,6.024697e-11,5.468326e-11,5.563703e-12,
385770,6.024697e-11,5.468326e-11,5.563703e-12,
390780,6.024697e-11,5.468326e-11,5.563703e-12,
395790,6.024697e-11,5.468326e-11,5.563703e-12,
400800,6.024697e-11,5.468326e-11,5.563703e-12,
405810,6.024697e-11,5.468326e-11,5.563703e-12,
410820,6.024697e-11,5.468326e-11,5.563703e-12,
415830,6.024697e-11,5.468326e-11,5.563703e-12,
420840,6.024697e-11,5.468326e-11,5.563703e-12,
425850,6.024697e-11,5.468326e-11,5.563703e-12,
430860,6.024697e-11,5.468326e-11,5.563703e-12,
435870,6.024697e-11,5.468326e-11,5.563703e-12,
440880,6.024697e-11,5.468326e-11,5.563703e-12,
445890,6.024697e-11,5.468326e-11,5.563703e-12,
450900,6.024697e-11,5.468326e-11,5.563703e-12,
455910,6.024697e-11,5.468326e-11,5.563703e-12,
460920,6.024697e-11,5.468326e-11,5.563703e-12,
465930,6.024697e-11,5.468326e-11,5.563703e-12,
470940,6.024697e-11,5.468326e-11,5.563703e-12,
475950,6.024697e-11,5.468326e-11,5.563703e-12,
480960,6.024697e-11,5.468326e-11,5.563703e-12,
485970,6.024697e-11,5.468326e-11,5.563703e-12,
490980,6.024697e-11,5.468326e-11,5.563703e-12,
495990,6.024697e-11,5.468326e-11,5.563703e-12,
501000,6.024697e-11,5.468326e-11,5.563703e-12,
506010,6.024697e-11,5.468326e-11,5.563703e-12,
511020,6.024697e-11,5.468326e-11,5.563703e-12,
516030,6.024697e-11,5.468326e-11,5.563703e-12,
521040,6.024697e-11,5.468326e-11,5.563703e-12,
526050,6.024697e-11,5.468326e-11,5.563703e-12,
531060,6.024697e-11,5.468326e-11,5.563703e-12,
536070,6.024697e-11,5.468326e-11,5.563703e-12,
541080,6.024697e-11,5.468326e-11,5.563703e-12,
546090,6.024697e-11,5.468326e-11,5.563703e-12,
551100,6.024697e-11,5.468326e-11,5.563703e-12,
556110,6.024697e-11,5.468326e-11,5.563703e-12,
561120,6.024697e-11,5.468326e-11,5.563703e-12,
566130,6.024697e-11,5.468326e-11,5.563703e-12,
571140,6.024697e-11,5.468326e-11,5.563703e-12,
576150,6.024697e-11,5.468326e-11,5.563703e-12,
581160,6.024697e-11,5.468326e-11,5.563703e-12,
586170,6.024697e-11,5.468326e-11,5.563703e-12,
591180,6.024697e-11,5.468326e-11,5.563703e-12,
596190,6.024697e-11,5.468326e-11,5.563703e-12,
601200,6.024697e-11,5.468326e-11,5.563703e-12,
606210,6.024697e-11,5.468326e-11,5.563703e-12,
611220,6.024697e-11,5.468326e-11,5.563703e-12,
616230,6.024697e-11,5.468326e-11,5.563703e-12,
